,adf_p_target_level,adf_p_predictor_level,coint_p_value,is_cointegrated,adf_p_target_diff,adf_p_predictor_diff,mutual_info,optimal_lag_aic,granger_p_value_optimal_lag,pearson_lag_0,spearman_lag_0,pearson_lag_1,spearman_lag_1,score,rank
BAMLEMXOCOLCRPIUSTRIV,0.0,0.5895245750387815,,False,3.1528540308330485e-20,3.694250524139316e-14,0.0172472904956637,10,9.109399299147106e-06,-0.0794313411830952,-0.0359924894564259,-0.1610861031742299,-0.1715967224112937,-0.23501180259663482,96
BAMLEMUBCRPIUSTRIV,0.0,0.658420655751593,,False,3.1528540308330485e-20,5.897069108134162e-07,0.008159010759551,10,0.0002650980984453,-0.0951010640355237,-0.0336953153367004,-0.1316487579659126,-0.133364786961902,-0.23559459915024553,97
BAMLEMELLCRPIEMEAUSOAS,0.0,0.0516776991229428,,False,3.1528540308330485e-20,1.8723137723155225e-15,0.0,10,0.0005804858266826,0.0369533609340547,0.1073741391500597,0.0406043894941904,0.0563378417150752,-0.23579944432226163,98
DEXINUS,0.0,0.94557881787087,,False,4.406497512349184e-28,3.848936153416498e-12,0.0068198772461949,10,0.0101199299667567,-0.0756080519793705,-0.0932189203106281,0.1233941542027453,0.0900967437600715,-0.23580129930846383,99
BAMLEMXOCOLCRPIUSSYTW,0.0,0.7528672246995896,,False,3.1528540308330485e-20,2.66048242275085e-10,0.0,10,0.0003652024142171,0.0904647065784627,0.0528206702832867,0.1370388544176352,0.1638740041454114,-0.2358175432795119,100
BAMLEMCBPIEY,0.0,0.7262599510511166,,False,3.1528540308330485e-20,1.6677258523518971e-09,0.0,10,0.0043528879702883,0.0998398079188391,0.057991258328673,0.1047768022568617,0.110548341499549,-0.23595804856336408,101
DJFUELUSGULF,0.0,0.1390824067099283,,False,1.474858958014636e-20,2.0222072828773785e-29,0.0,10,0.0163088679924008,0.0916456275843348,0.1134209255627408,-0.0691313830070205,-0.0918158254379439,-0.23601689188225275,102
BAMLEMHGHGLCRPIUSEY,0.0,0.7566170269898396,,False,3.1528540308330485e-20,2.6519652238404762e-08,0.0182628373851723,10,0.0155923488556722,0.107522382184529,0.0578212793024829,0.0695386389496818,0.068771859726183,-0.23605000591653325,103
OBMMIC30YFLVGT80FB720A739,0.0,0.80104102842139,,False,4.8536132268305925e-28,3.1942215371540993e-15,0.0,10,0.0004777757580035,0.0822624895465187,0.0582255756960238,0.0240765682375403,0.0369572531872145,-0.23614230377894715,104
BAMLEMUBCRPIUSEY,0.0,0.6903919975007474,,False,3.1528540308330485e-20,3.9082550140803196e-08,0.0100436864785602,10,0.0049796799718459,0.095493846893522,0.0428269429976044,0.1074286760817306,0.119428192402602,-0.23615105570391365,105
IHLCHGGBTPSOFTDEVE,2.9764781123746136e-30,0.5176865575214877,,False,9.917722468117149e-14,1.0064405163487438e-06,0.0517583878765024,10,0.0169420239775721,-0.0313980152239425,-0.0703775678564385,-0.0593017098122453,-0.007551044615626,-0.23624757370769026,106
BAMLEMIBHGCRPIEY,0.0,0.7056523697397226,,False,3.1528540308330485e-20,6.506310675007931e-08,0.0555055867232741,10,0.0354835363863015,0.109226133263422,0.0590602913064208,0.0636902955626987,0.0555821230504955,-0.23626365475288152,107
BAMLEM2BRRBBBCRPIEY,0.0,0.7245381756592134,,False,3.1528540308330485e-20,1.318755062053646e-08,0.024199437769766,10,0.0237621800278894,0.11710158714059,0.0663886343514689,0.0662974343936819,0.0700610238342813,-0.23631596230799665,108
POLRECD,0.0,0.4764847376162905,,False,1.2131885142191438e-12,0.0,0.0014169081333264,10,0.0036270552508516,-0.0779663524666055,-0.0704206776270005,0.0544666517319702,0.0331457922649414,-0.23632873746431474,109
